,dag_job_id,pid,vm,@version,rank,bsend,site,syscw,type,wf_label,bwrite,exe,rchar,threads,utime,syscr,@timestamp,xformation,wf_uuid,task_id,hostname,brecv,procs,event,iowait,wchar,bread,ts,stime,condor_job_id,rss
1096,sassena_ID0000005,26046,689276,1,8,0,local-slurm,227,kickstart,refinement-20180718T211501Z,266240,/usr/bin/pegasus-monitor,9237827,5,155.78,3107,2018-07-18T21:30:24.862Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-2,0,2,kickstart.inv.online,0.26,300982,11546624,1531949423.455854,133.35,10507.0,38120
1097,sassena_ID0000005,26050,688100,1,10,0,local-slurm,221,kickstart,refinement-20180718T211501Z,262144,/usr/bin/pegasus-monitor,7411496,5,157.79,2884,2018-07-18T21:30:24.864Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-2,0,2,kickstart.inv.online,0.46,273596,5222400,1531949423.45921,131.0,10507.0,36732
1098,sassena_ID0000005,23915,688096,1,13,0,local-slurm,225,kickstart,refinement-20180718T211501Z,339968,/usr/bin/pegasus-monitor,8132636,5,154.57,3140,2018-07-18T21:30:54.888Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-3,0,2,kickstart.inv.online,0.26,57115,4653056,1531949452.526157,164.88,10507.0,37372
1099,sassena_ID0000005,24436,688144,1,5,0,local-slurm,319,kickstart,refinement-20180718T211501Z,315392,/usr/bin/pegasus-monitor,8133111,5,182.92,3143,2018-07-18T21:30:54.889Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-1,0,2,kickstart.inv.online,0.45,540614,8445952,1531949453.8462,135.76,10507.0,37276
1100,sassena_ID0000005,24437,688012,1,6,0,local-slurm,319,kickstart,refinement-20180718T211501Z,307200,/usr/bin/pegasus-monitor,8133099,5,188.53,3163,2018-07-18T21:30:54.891Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-1,0,2,kickstart.inv.online,0.45,540612,3182592,1531949453.846341,130.89,10507.0,37204
1101,sassena_ID0000005,24433,688176,1,4,0,local-slurm,298,kickstart,refinement-20180718T211501Z,282624,/usr/bin/pegasus-monitor,8756746,5,148.5,2948,2018-07-18T21:30:04.849Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-1,0,2,kickstart.inv.online,0.45,559224,7991296,1531949403.846261,120.74,10507.0,36848
1102,sassena_ID0000005,26050,688100,1,10,0,local-slurm,210,kickstart,refinement-20180718T211501Z,262144,/usr/bin/pegasus-monitor,6930430,5,145.91,2706,2018-07-18T21:30:04.848Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-2,0,2,kickstart.inv.online,0.46,270074,5222400,1531949403.459244,122.92,10507.0,36732
1103,sassena_ID0000005,23922,688160,1,15,0,local-slurm,188,kickstart,refinement-20180718T211501Z,311296,/usr/bin/pegasus-monitor,6468086,5,118.06,2511,2018-07-18T21:29:44.860Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-3,0,2,kickstart.inv.online,0.24,44768,417792,1531949382.553453,131.48,10507.0,37416
1104,sassena_ID0000005,26049,687980,1,9,0,local-slurm,199,kickstart,refinement-20180718T211501Z,258048,/usr/bin/pegasus-monitor,6449368,5,143.12,2534,2018-07-18T21:29:44.872Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-2,0,2,kickstart.inv.online,0.47,266529,4362240,1531949383.449957,106.28,10507.0,37212
1105,sassena_ID0000005,11645,688120,1,3,0,local-slurm,559,kickstart,refinement-20180718T211501Z,290816,/usr/bin/pegasus-monitor,7300455,5,150.06,2801,2018-07-18T21:30:14.885Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-0,0,2,kickstart.inv.online,0.46,2586497,3866624,1531949413.88902,129.07,10507.0,36892
