,exe,task_id,bwrite,bsend,dag_job_id,wf_label,hostname,stime,xformation,rss,event,procs,iowait,@version,condor_job_id,syscr,type,wf_uuid,threads,syscw,rchar,site,vm,pid,ts,bread,rank,@timestamp,utime,brecv,wchar
872,/var/lib/condor/execute/dir_14260/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000013,254517248,0,individuals_wrapper_ID0000013,1000genome-20180627T215441Z,workers1-2,8.32,individuals_wrapper,22316,kickstart.inv.online,5,0.04,1,6595.0,1633,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,445339,7593036,condorpool,299248,26815,1530137687.362585,0,0,2018-06-27T22:14:48.635Z,71.37,0,73768570
873,/var/lib/condor/execute/dir_17878/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000002,323497984,0,individuals_wrapper_ID0000002,1000genome-20180627T215441Z,workers1-2,17.03,individuals_wrapper,22556,kickstart.inv.online,5,0.12,1,6596.0,5059,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,925160,22952598,condorpool,299252,31152,1530137771.878852,0,0,2018-06-27T22:16:13.155Z,142.75,0,154793780
874,/var/lib/condor/execute/dir_15896/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000022,95760384,0,individuals_wrapper_ID0000022,1000genome-20180627T215441Z,workers1-0,4.3,individuals_wrapper,22768,kickstart.inv.online,5,0.01,1,6598.0,22595,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,221964,92835074,condorpool,299236,25437,1530137709.32487,0,0,2018-06-27T22:15:10.137Z,35.6,0,36398582
875,/var/lib/condor/execute/dir_7662/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000001,278446080,0,individuals_wrapper_ID0000001,1000genome-20180627T215441Z,workers1-0,8.2,individuals_wrapper,22152,kickstart.inv.online,5,0.04,1,6597.0,1630,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,441111,7580673,condorpool,299248,19613,1530137743.387273,0,0,2018-06-27T22:15:44.200Z,71.7,0,71886016
876,/var/lib/condor/execute/dir_27196/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000019,6400724992,0,individuals_wrapper_ID0000019,1000genome-20180627T215441Z,workers1-3,75.98,individuals_wrapper,19056,kickstart.inv.online,8,0.79,1,6588.0,1048430,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,9,5257821,2829309559,condorpool,343948,27469,1530137700.214068,0,0,2018-06-27T22:15:02.380Z,406.59,0,2228560918
877,/var/lib/condor/execute/dir_27195/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000009,5955325952,0,individuals_wrapper_ID0000009,1000genome-20180627T215441Z,workers1-3,74.87,individuals_wrapper,16248,kickstart.inv.online,5,0.77,1,6587.0,623389,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,5110468,1723829476,condorpool,309928,27605,1530137681.722265,0,0,2018-06-27T22:14:43.889Z,390.56,0,1614225758
878,/var/lib/condor/execute/dir_8310/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000003,6643507200,0,individuals_wrapper_ID0000003,1000genome-20180627T215441Z,workers1-1,53.31,individuals_wrapper,18488,kickstart.inv.online,8,0.93,1,6594.0,1000603,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,9,5220562,2692236317,condorpool,368904,8537,1530137672.288253,0,0,2018-06-27T22:14:33.192Z,386.74,0,2165360455
879,/var/lib/condor/execute/dir_8315/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000020,5896626176,0,individuals_wrapper_ID0000020,1000genome-20180627T215441Z,workers1-1,51.66,individuals_wrapper,15248,kickstart.inv.online,6,0.91,1,6592.0,845337,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,7,5159445,2300599006,condorpool,293476,8844,1530137674.872124,0,0,2018-06-27T22:14:35.774Z,377.27,0,1929752039
880,/var/lib/condor/execute/dir_14260/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000013,283156480,0,individuals_wrapper_ID0000013,1000genome-20180627T215441Z,workers1-2,9.43,individuals_wrapper,22316,kickstart.inv.online,5,0.05,1,6595.0,1828,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,502711,8562704,condorpool,299248,26815,1530137697.362638,0,0,2018-06-27T22:14:58.636Z,80.26,0,83256837
881,/var/lib/condor/execute/dir_8314/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000010,6171160576,0,individuals_wrapper_ID0000010,1000genome-20180627T215441Z,workers1-1,53.37,individuals_wrapper,14856,kickstart.inv.online,6,0.9,1,6591.0,900243,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,7,5189630,2447888357,condorpool,306660,8653,1530137676.134111,0,0,2018-06-27T22:14:37.028Z,384.99,0,1994339062
882,/var/lib/condor/execute/dir_14260/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000013,476364800,0,individuals_wrapper_ID0000013,1000genome-20180627T215441Z,workers1-2,19.37,individuals_wrapper,22316,kickstart.inv.online,5,0.13,1,6595.0,3565,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,1027943,17166888,condorpool,299248,26815,1530137787.36268,0,0,2018-06-27T22:16:28.638Z,160.31,0,169201834
883,/var/lib/condor/execute/dir_14260/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000013,425762816,0,individuals_wrapper_ID0000013,1000genome-20180627T215441Z,workers1-2,16.21,individuals_wrapper,22316,kickstart.inv.online,5,0.12,1,6595.0,2981,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,852998,14261955,condorpool,299248,26815,1530137757.362646,0,0,2018-06-27T22:15:58.645Z,133.46,0,140407245
884,/var/lib/condor/execute/dir_17878/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000002,250789888,0,individuals_wrapper_ID0000002,1000genome-20180627T215441Z,workers1-2,12.8,individuals_wrapper,22556,kickstart.inv.online,5,0.08,1,6596.0,4286,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,688520,19114853,condorpool,299252,31152,1530137731.878845,0,0,2018-06-27T22:15:33.155Z,106.98,0,114784084
885,/var/lib/condor/execute/dir_15896/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000022,135041024,0,individuals_wrapper_ID0000022,1000genome-20180627T215441Z,workers1-0,6.38,individuals_wrapper,22768,kickstart.inv.online,5,0.01,1,6598.0,22975,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,335215,94700678,condorpool,299236,25437,1530137729.3249,0,0,2018-06-27T22:15:30.141Z,53.5,0,54994334
886,/var/lib/condor/execute/dir_17878/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000002,173305856,0,individuals_wrapper_ID0000002,1000genome-20180627T215441Z,workers1-2,9.46,individuals_wrapper,22556,kickstart.inv.online,5,0.04,1,6596.0,3701,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,511719,16201742,condorpool,299252,31152,1530137701.87881,0,0,2018-06-27T22:15:03.153Z,80.32,0,85311006
887,/var/lib/condor/execute/dir_7662/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000001,218750976,0,individuals_wrapper_ID0000001,1000genome-20180627T215441Z,workers1-0,5.26,individuals_wrapper,22152,kickstart.inv.online,5,0.02,1,6597.0,1057,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,273659,4765882,condorpool,299248,19613,1530137713.387278,0,0,2018-06-27T22:15:14.200Z,44.63,0,44546637
888,/var/lib/condor/execute/dir_7662/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000001,239263744,0,individuals_wrapper_ID0000001,1000genome-20180627T215441Z,workers1-0,6.26,individuals_wrapper,22152,kickstart.inv.online,5,0.02,1,6597.0,1251,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,329215,5723260,condorpool,299248,19613,1530137723.387225,0,0,2018-06-27T22:15:24.208Z,53.65,0,53528038
889,/var/lib/condor/execute/dir_7662/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000001,208494592,0,individuals_wrapper_ID0000001,1000genome-20180627T215441Z,workers1-0,4.13,individuals_wrapper,22152,kickstart.inv.online,5,0.01,1,6597.0,872,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,217687,3865852,condorpool,299248,19613,1530137703.387422,0,0,2018-06-27T22:15:04.197Z,35.76,0,35561582
890,/var/lib/condor/execute/dir_27201/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000021,5222490112,0,individuals_wrapper_ID0000021,1000genome-20180627T215441Z,workers1-3,72.78,individuals_wrapper,18644,kickstart.inv.online,10,0.79,1,6590.0,452834,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,11,5094268,1279541631,condorpool,400072,27731,1530137680.646917,0,0,2018-06-27T22:14:42.829Z,395.16,0,1376863154
891,/var/lib/condor/execute/dir_8316/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000014,6049677312,0,individuals_wrapper_ID0000014,1000genome-20180627T215441Z,workers1-1,54.28,individuals_wrapper,16732,kickstart.inv.online,7,0.95,1,6593.0,809368,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,8,5201080,2182164293,condorpool,300088,8747,1530137668.748375,0,0,2018-06-27T22:14:29.645Z,384.69,0,1904284837
892,/var/lib/condor/execute/dir_8316/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000014,6066970624,0,individuals_wrapper_ID0000014,1000genome-20180627T215441Z,workers1-1,54.83,individuals_wrapper,14632,kickstart.inv.online,5,0.95,1,6593.0,942382,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,5232931,2528564883,condorpool,274060,8747,1530137678.748042,0,0,2018-06-27T22:14:39.634Z,385.23,0,2090853027
893,/var/lib/condor/execute/dir_8315/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000020,5879877632,0,individuals_wrapper_ID0000020,1000genome-20180627T215441Z,workers1-1,51.0,individuals_wrapper,16024,kickstart.inv.online,7,0.91,1,6592.0,716563,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,8,5128612,1964910784,condorpool,311376,8844,1530137664.872136,0,0,2018-06-27T22:14:25.793Z,376.91,0,1748819491
894,/var/lib/condor/execute/dir_17878/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000002,160808960,0,individuals_wrapper_ID0000002,1000genome-20180627T215441Z,workers1-2,8.33,individuals_wrapper,22556,kickstart.inv.online,5,0.04,1,6596.0,3515,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,453160,15297610,condorpool,299252,31152,1530137691.878849,0,0,2018-06-27T22:14:53.154Z,71.44,0,75508368
895,/var/lib/condor/execute/dir_27201/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000021,5251264512,0,individuals_wrapper_ID0000021,1000genome-20180627T215441Z,workers1-3,74.17,individuals_wrapper,20308,kickstart.inv.online,11,0.79,1,6590.0,675039,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,12,5147444,1858417931,condorpool,409340,27731,1530137700.645832,0,0,2018-06-27T22:15:02.810Z,395.76,0,1688910977
896,/var/lib/condor/execute/dir_27198/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000008,6434033664,0,individuals_wrapper_ID0000008,1000genome-20180627T215441Z,workers1-3,77.78,individuals_wrapper,15552,kickstart.inv.online,5,1.06,1,6589.0,1012998,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,5238381,2777831811,condorpool,291884,27369,1530137692.863861,0,0,2018-06-27T22:14:55.041Z,403.89,0,2221700792
